student_id,survey_date,week,section,question_id,question_text,response_score,notes
S001,2025-04-05,6,AI_dependency,Q1,我經常使用AI工具來解決程式問題,4,
S001,2025-04-05,6,AI_dependency,Q2,沒有AI工具我很難完成程式作業,3,
S001,2025-04-05,6,AI_dependency,Q3,我會依賴AI工具提供的程式碼,3,
S001,2025-04-05,6,AI_dependency,Q4,使用AI工具讓我更有信心寫程式,4,
S001,2025-04-05,6,AI_dependency,Q5,我會先自己思考再使用AI工具,4,
S001,2025-04-05,6,AI_dependency,Q6,我能判斷AI提供的程式碼是否正確,3,
S001,2025-04-05,6,AI_dependency,Q7,我會修改AI提供的程式碼,4,
S001,2025-04-05,6,AI_dependency,Q8,我理解AI生成的程式邏輯,3,
S001,2025-04-05,6,AI_dependency,Q9,我會驗證AI程式碼的執行結果,4,
S001,2025-04-05,6,AI_dependency,Q10,我能不依賴AI獨立完成簡單程式,3,
S001,2025-04-05,6,AI_dependency,Q11,我擔心過度依賴AI會影響學習,4,
S001,2025-04-05,6,AI_dependency,Q12,我認為AI是學習的輔助工具,5,
S001,2025-04-05,6,SRL,Q13,我會設定明確的學習目標,4,
S001,2025-04-05,6,SRL,Q14,我會規劃每週的學習進度,3,
S001,2025-04-05,6,SRL,Q15,我會監控自己的學習狀況,4,
S001,2025-04-05,6,SRL,Q16,遇到困難時我會調整學習策略,4,
S001,2025-04-05,6,SRL,Q17,我會反思自己的學習過程,3,
S001,2025-04-05,6,SRL,Q18,我能評估自己的學習成效,3,
S001,2025-04-05,6,SRL,Q19,我會主動尋找學習資源,4,
S001,2025-04-05,6,SRL,Q20,我會記錄學習心得,3,
S001,2025-04-05,6,SRL,Q21,我能專注於程式學習,4,
S001,2025-04-05,6,SRL,Q22,我會自我激勵持續學習,4,
S001,2025-04-05,6,SRL,Q23,我能管理好學習時間,3,
S001,2025-04-05,6,SRL,Q24,我會向同學或老師求助,4,
S001,2025-04-05,6,SRL,Q25,我會與同學討論程式問題,4,
S001,2025-04-05,6,SRL,Q26,我能從錯誤中學習,5,
S001,2025-04-05,6,SRL,Q27,我會重複練習不熟悉的概念,4,
S001,2025-04-05,6,SRL,Q28,我能將學到的知識應用到新問題,3,
S001,2025-04-05,6,SRL,Q29,我會設定合理的學習期望,4,
S001,2025-04-05,6,SRL,Q30,我對程式學習有信心,3,
S001,2025-04-05,6,SRL,Q31,我會主動解決學習困難,4,
S001,2025-04-05,6,SRL,Q32,我能堅持完成困難的程式任務,3,
S001,2025-04-05,6,SRL,Q33,我會檢視自己的程式碼品質,4,
S001,2025-04-05,6,SRL,Q34,我會思考如何改進程式效能,3,
S001,2025-04-05,6,SRL,Q35,我享受解決程式問題的過程,4,
