week,phase,teaching_activity,prompt_template_used,template_usage_rate,teaching_steps_completed,notes,instructor,check_date
1,引導期,變數與資料型別,是,95%,完整執行,學生適應良好,教師A,2025-03-01
2,引導期,條件判斷,是,90%,完整執行,少數學生忘記使用模板,教師A,2025-03-08
3,引導期,迴圈基礎,是,92%,完整執行,提醒學生記錄思考步驟,教師A,2025-03-15
4,引導期,函數定義,是,88%,完整執行,部分學生需要額外引導,教師A,2025-03-22
5,引導期,串列與字典,是,93%,完整執行,學生開始習慣三步驟思考,教師A,2025-03-29
6,引導期,除錯技巧,是,91%,完整執行,引導期結束進行第一次施測,教師A,2025-04-05
7,轉換期,檔案處理,部分,75%,完整執行,開始減少模板提供,教師A,2025-04-12
8,轉換期,例外處理,部分,70%,完整執行,鼓勵學生自主嘗試,教師A,2025-04-19
9,轉換期,模組與套件,部分,68%,完整執行,學生適應中,教師A,2025-04-26
10,轉換期,物件導向基礎,否,60%,完整執行,僅提供概念框架,教師A,2025-05-03
11,轉換期,類別與方法,否,55%,完整執行,學生開始獨立解決問題,教師A,2025-05-10
12,轉換期,期中專題,否,50%,完整執行,轉換期結束進行第二次施測,教師A,2025-05-17
13,自主期,資料視覺化,否,45%,完整執行,學生自主性提升,教師A,2025-05-24
14,自主期,網路爬蟲,否,40%,完整執行,鼓勵探索與實驗,教師A,2025-05-31
15,自主期,API應用,否,38%,完整執行,學生展現創意,教師A,2025-06-07
16,自主期,專題開發,否,35%,完整執行,專題進行中,教師A,2025-06-14
17,自主期,專題完成,否,30%,完整執行,自主期結束進行第三次施測,教師A,2025-06-21
18,自主期,期末發表,否,28%,完整執行,專題展示與反思,教師A,2025-06-28
